Timestamp,UniqID,소속,학년,성별,1. 블랙보드 시스템에 전반적으로 만족하십니까?,2. 학기중 블랙보드에는 얼마나 자주 접속하십니까?,3. 학기중 블랙보드를 가장 많이 활용한 시간대는 언제입니까?,4. 학기 중 블랙보드 사이트 접속이 신속하게 이루어집니까?,5. 어떤 브라우저를 사용하여 블랙보드를 주로 접속하십니까?,6. 블랙보드 메인 화면의 구성 및 디자인에 만족하십니까?,7. 블랙보드 강의실 내 메뉴는 직관적이라고 생각하십니까?,8. 블랙보드에서 제공되는 정보들은 잘 분류되어 있습니까?,"9. 블랙보드 내 글자 크기(메뉴 텍스트, 본문, 코스 정보 등)는 적정합니까?",10. 블랙보드 내에서 가장 선호하는 온라인수업(비대면) 운영 방식은 무엇입니까?,11. 귀하가 생각하는 가장 효과적인 블랙보드 내 학습활동은 무엇입니까?,12. 블랙보드 내 학습의 한계는 무엇이라고 생각하십니까?,13. 블랙보드 내 수강 환경의 한계는 무엇이라고 생각하십니까?,14. 블랙보드 영상 출석콘텐츠 수업 방식에 대해 전반적으로 만족합니까?,15. 블랙보드 영상 출석콘텐츠 수업 방식의 한계는 무엇이라고 생각하십니까? (복수응답 가능),"16. 실시간 화상강의(Zoom, Collaborate) 수업 방식에 대해 전반적으로 만족합니까?","17. 실시간 화상강의(Zoom, Collaborate)를 활용한 온라인수업의 한계는 무엇이라고 생각하십니까? (복수응답 가능)",18. 블랙보드 내에서 가장 선호하는 소통 방식을 선택하여 주십시오. ,19. 블랙보드 기능에 전반적으로 만족하십니까?,20. 블랙보드 기능은 전반적으로 사용하기 쉽습니까?,"21. 블랙보드 이용 시 오류를 겪었다면, 어떤 유형의 오류였는지 표기해주십시오. (복수응답 가능)",22. 블랙보드 홈페이지는 LMS를 사용하는데 필요한 정보를 손쉽게 찾고 관련 안내를 신속하게 전달할 수 있도록 구성되었습니다. 이 구성에 만족하십니까? ,23. 모바일 APP Blackboard는 웹에서 이용하는 주요 기능을 모바일 기기에서 이용 가능하도록 구성되었습니다. 모바일 APP 이용에 얼마나 만족하십니까?,24. 모바일 APP 이용 시 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,"25. 코스 화면에서는 과거 코스, 현재 수강 중인 코스 목록을 손쉽게 파악할 수 있도록 구성되어 있습니다. 코스 화면 구성에 만족하십니까?",26. 코스 화면에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,27. 코스 홈 접속 후 좌측에 나타나는 코스 메뉴 구성에 만족하십니까?,28. 코스 메뉴 구성에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,29. 코스 메뉴 공지사항 기능에 만족하십니까?,30. 코스 메뉴 공지사항 기능 중 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,"31. 영상 출결 콘텐츠(커먼즈, 유튜브, 구글 드라이브) 기능에 만족하십니까? ","32. 영상 출결 콘텐츠(커먼즈, 유튜브, 구글 드라이브) 기능 중 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.","33. 과제 제출 및 피드백 기능(턴잇인, SafeAssign)에 얼마나 만족하십니까?",34. 과제 제출 및 피드백 기능에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,"35. 그룹활동(토론, 블로그, 저널) 기능에 만족하십니까?","36. 그룹활동(토론, 블로그, 저널) 기능에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.",37.  영상 출결 콘텐츠  출석 현황 기능에 만족하십니까?,38. 녹화영상 출석 현황에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,39. 시험/락다운브라우저 기능에 만족하십니까?,40. 시험/락다운브라우저 기능 중 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,"41. 실시간 강의 도구(ZOOM, Collaborate) 기능에 만족하십니까? ","42. 실시간 강의 도구(ZOOM, Collaborate) 기능에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.",43. 성적 기능에 얼마나 만족하십니까?,44. 성적 기능에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,45. 학습관리시스템(LMS) 블랙보드와 관련하여 개선되었으면 하는 사항 및 기타 하고 싶으신 말씀에 대해 작성해주십시오.,46. 차세대 학습관리시스템(LMS)를 도입하는 것에 대해 어떻게 생각하십니까? ,47. 차세대 학습관리시스템(LMS)을 도입을 희망하지 않는 이유에 대해 작성하여 주십시오.,48. 차세대 학습관리시스템(LMS)을 도입을 희망하는 이유에 대해 작성하여 주십시오.,"49. 차세대 학습관리시스템(LMS)을 도입하게 된다면, 반드시 유지해야 하는 기능에 대해 작성하여 주십시오.","50. 차세대 학습관리시스템(LMS)을 도입하게 된다면, 새롭게 도입되길 희망하는 기능에 대해 작성하여 주십시오."
2022/10/18 1:45:14 PM GMT+9,C5559ekz,교육대학원 생물교육전공,석사과정,여,4,하루에 3회 이상,저녁 (18:00-24:00),5,크롬(Chrome),1,1,4,4,녹화영상(영상 출석콘텐츠),영상 출석콘텐츠 외 자료 제공,교수-학생·학생-학생 간 의사소통의 부족,시스템 불안정,보통,출석 반영 오류,보통,음향이 작거나 울림;접속 오류로 인한 수업 끊김,없음,3,5,"실시간 화상강의(Zoom, Collaborate) 참여;출석 반영 오류;시험 응시 및 접속",4,3,전반적인 모든 것(사실 모바일 사용을 권장하지 않고 있지 않습니까 ??! ㅎㅎ),5,,4, ,4,딱히 없음,3,콘텐츠 출석이 정상적으로 반영이 안 되는 것 같습니다,3,"간혹 교수님께서 설정 시, 데이터 베이스에 저장하면 자가 표절로 뜨는 경우가 있는데, 이 점이 조금 아쉽습니다.",3,딱히 안 써봐서 모르겠습니다. ,3,시스템 오류가 너무 심합니다.,4, ,4,소리 송출 문제 좀 해결해주세요,3,, ,차세대 학습관리시스템(LMS) 도입 희망,,블랙보드가 구린데 이거보단 괜찮을거라고 생각합니다. ,영상 출결 시스템이 좀 잘 되었으면 좋겠습니다. ,영상 출결 시스템 ㅎㅎ
2022/10/24 10:11:29 AM GMT+9,S9340unw,정보대학 컴퓨터학과,1학년,여,3,하루에 3회 이상,새벽 (24:00-6:00),2,크롬(Chrome),2,2,3,2,녹화영상(영상 출석콘텐츠),과제,교수-학생·학생-학생 간 의사소통의 부족,온라인수업 시 집중 저하,만족,재생 오류로 인한 끊김,보통,없음,과제·퀴즈 피드백,3,2,"실시간 화상강의(Zoom, Collaborate) 참여;코스 화면 접속;출석 반영 오류;과제 업로드",1,1,코스 화면이 안 들어가짐 UI도 별로임,2,한눈에 가능하면 좋겠음 / 과제 등 캘린더 일정이 간략히 같이 떴으면 좋겠음,2,,3,공지사항 순서 기준을 모르겠음 가독성이 별로임,4,,4,,2,,4,,3,,4,녹화본 접근 방법이 조금 복잡 (어흥톡 보고 깨달음),4,성적 상대적 그래프 보는 기능? 활성화,,차세대 학습관리시스템(LMS) 도입 희망,,블랙보드 불편,코스 성적 공지사항 과제제출 ,학교 포털과 연동
2022/10/24 10:14:12 AM GMT+9,Q6348ilg,경영대학 경영학과,4학년,여,4,하루에 한 번,저녁 (18:00-24:00),4,크롬(Chrome),4,4,5,5,실시간 화상강의(Zoom),영상 출석콘텐츠 외 자료 제공,녹화 강의 영상의 질,시스템 불안정,만족,음향이 작거나 울림;영상 화질이 선명하지 않음;재생 오류로 인한 끊김,만족,없음,없음,2,4,SSO 통합 로그인;코스 화면 접속;과제 업로드;시험 응시 및 접속,4,5,,4,,4,,5,,5,,4,,4,,4,,4,,4,,4,,,현재 학습관리시스템(LMS) 블랙보드 유지,변경시 혼란 가중,,,
2022/10/24 10:23:01 AM GMT+9,F7696nak,문과대학 중어중문학과,3학년,여,4,하루에 한 번,오후2 (15:00-18:00),4,Mac용 사파리,4,4,5,4,실시간 화상강의(Collaborate),영상 출석콘텐츠 외 자료 제공,내용 이해를 돕는 학습 활동의 부족,안정적인 수업 수강 장소 부재,만족,재생 오류로 인한 끊김;수업 내용 이해 어려움,만족,수업 내용 이해의 어려움,메시지,5,4,"실시간 화상강의(Zoom, Collaborate) 참여",4,3,알림기능 선택,4,코스 순서 배열,4,없음,4,알림기능 선택,4,없음,4,없음,4,없음,4,없음,5,없음,4,없음,4,한 학기 성적보기,없음,현재 학습관리시스템(LMS) 블랙보드 유지,현재 만족,,,
2022/10/24 10:26:54 AM GMT+9,C5856rtq,이과대학 화학과,2학년,여,3,하루에 3회 이상,오후2 (15:00-18:00),4,크롬(Chrome),4,5,4,5,녹화영상(영상 출석콘텐츠),과제,시험의 공정성,네트워크 불안정으로 접속 끊김 현상,매우 만족,출석 반영 오류,만족,접속 오류로 인한 수업 끊김,과제·퀴즈 피드백,4,4,없음,4,3,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,,상관없음,,,,
2022/10/24 10:30:54 AM GMT+9,L19921wq,일반대학원 문화유산학협동과정,석사과정,여,4,1주에 3회 정도,오후2 (15:00-18:00),4,크롬(Chrome),4,2,4,5,실시간 화상강의(Collaborate),토론,교수-학생·학생-학생 간 의사소통의 부족,온라인수업 시 집중 저하,만족,재생 오류로 인한 끊김,보통,접속 오류로 인한 수업 끊김,토론방,4,4,강의 동영상 재생,3,4,,4,,3,,4,,4,,4,,4,,3,,4,,4,,4,,,차세대 학습관리시스템(LMS) 도입 희망,,불편한 점이 개선될 듯,공지 및 토론메뉴,보다 나은 실시간 강의 제공
2022/10/24 10:32:58 AM GMT+9,I1349sdo,문과대학/한문학과,3학년,여,4,하루에 3회 이상,오후1 (12:00-15:00),4,크롬(Chrome),4,4,4,4,녹화영상(영상 출석콘텐츠),영상 출석콘텐츠 외 자료 제공,교수-학생·학생-학생 간 의사소통의 부족,온라인수업 시 집중 저하,매우 만족,영상 분량이 부족하거나 많음,만족,접속 오류로 인한 수업 끊김,과제·퀴즈 피드백,4,3,없음,4,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,,현재 학습관리시스템(LMS) 블랙보드 유지,,,,
2022/10/24 10:33:45 AM GMT+9,I4714ahm,심리학부,3학년,여,4,하루에 한 번,저녁 (18:00-24:00),4,크롬(Chrome),4,4,4,4,녹화영상(영상 출석콘텐츠),영상 출석콘텐츠 외 자료 제공,시험의 공정성,온라인수업 시 집중 저하,매우 만족,상호작용 불가로 인한 질의응답 어려움;출석 반영 오류,만족,접속 오류로 인한 수업 끊김,과제·퀴즈 피드백,4,5,SSO 통합 로그인,4,4,앱에 접속할 때마다 로그인 해야 하는 게 귀찮다,4,,4,,5,정렬 방식을 커스텀으로 할 수 있게끔,4,,5,,4,,4,,4,,4,,5,,,상관없음,,,,
2022/10/24 10:34:28 AM GMT+9,Y6031onb,자유전공학부 행정학과,3학년,남,1,하루에 3회 이상,오후1 (12:00-15:00),3,기타,1,2,1,5,실시간 화상강의(Zoom),과제,교수-학생·학생-학생 간 의사소통의 부족,블랙보드 기능 사용의 어려움,불만족,영상 분량이 부족하거나 많음;상호작용 불가로 인한 질의응답 어려움;출석 반영 오류,만족,없음,과제·퀴즈 피드백,1,3,SSO 통합 로그인;코스 화면 접속;시험 응시 및 접속;메시지(수/발신) 기능,3,1,#NAME?,5,,5,#NAME?,4,"- 모바일 앱의 동기화(로딩) 속도가 빨라지면 좋겠습니다.
- 간혹 공지사항이 시간순으로 배열되지 않는 문제가 있습니다(어떤 규칙이 있는 듯하나 알기 어렵습니다).",4,,4,"- UI 구성(과제물 제출 시 입력란, 피드백 열람 등)이 어딘가 답답합니다. 블랙보드 자체의 한계인 듯합니다.",1,#NAME?,5,- 출석 확인 기능이 모든 강의에 일괄 추가되면 좋겠습니다(현재는 교수자 재량으로 이해하고 있습니다).,5,,5,,2,#NAME?,#NAME?,차세대 학습관리시스템(LMS) 도입 희망,,#NAME?,,"편의성, 신속성 개선"
2022/10/24 10:34:55 AM GMT+9,S6400anz,자유전공학과 자유전공학부 ,1학년,여,4,1주에 3회 정도,저녁 (18:00-24:00),5,크롬(Chrome),5,2,3,5,외부 URL 또는 YOUTUBE 제공,과제,내용 이해를 돕는 학습 활동의 부족,없음,영상 출석콘텐츠 수업 경험 없음,없음,실시간 화상강의 수업 경험 없음,없음,메시지,5,4,없음,5,4,,5,코스의 사진은 교수님의 스진으로 바꿨으면 더 좋을 겉 같아요 ,4,,4,혼란 ,4,,4,,3,,4,,4,,5,,5,,,차세대 학습관리시스템(LMS) 도입 희망,,,,
